Source,Target,value
Geralt,Vilgefortz,138
Francesca,Geralt,2
Lydia,Yennefer,6
Radcliffe,Yennefer,7
Philippa,Radcliffe,11
Cirilla,Two,1
Marti,Sabrina,31
Francesca,Sabrina,52
Marti,Yennefer,5
Geralt,Marti,4
Dorregaray,Philippa,8
Geralt,Radcliffe,6
Keira,Yennefer,29
Keira,Sabrina,76
Keira,Marti,10
Keira,Philippa,29
Francesca,Yennefer,127
Geralt,Tissaia,16
Geralt,Lydia,19
Agnes,Giambattista,7
Geoffrey,Giambattista,2
Geoffrey,Gerhart,4
Herbert,Vilgefortz,1
Aurora,Herbert,6
Aurora,Ivo,6
Agnes,Ivo,6
Agnes,Geoffrey,6
Geoffrey,Radmir,6
Aurora,Nina,6
Klara,Nina,6
Klara,Nora,1
Augusta,Nora,6
Augusta,Jada,6
Jada,Leticia,6
Ilona,Leticia,6
Ilona,Yiolenta,6
April,Yiolenta,6
April,Tissaia,5
Geralt,Radmir,4
Falka,Radmir,6
Aen,Vilgefortz,3
Lara,Lydia,14
Ciri,Lara,25
Tissaia,Triss,4
Ciri,Vilgefortz,140
Geoffrey,Immanuel,6
Immanuel,Nina,6
Nina,Ransant,6
Adalia,Elen,6
Elen,Fiona,6
Falka,Fiona,24
Fiona,Pavetta,6
Falka,Pavetta,6
Falka,Ithlinne,10
Falka,Lara,12
Codringher,Lara,5
Codringher,Falka,1
Cirilla,Falka,16
Falka,Geralt,3
Emhyr,Rience,4
Artaud,Geralt,5
Geralt,Keira,22
Radcliffe,Sabrina,15
Keira,Triss,44
Lydia,Triss,11
Lydia,Sabrina,1
Radcliffe,Triss,27
Sabrina,Vilgefortz,31
Sabrina,Triss,22
Dorregaray,Marti,9
Dorregaray,Esterad,4
Esterad,Lydia,3
Artaud,Philippa,5
Keira,Radcliffe,6
Radcliffe,Tissaia,11
Emhyr,Philippa,39
Emhyr,Tissaia,2
Francesca,Philippa,65
Emhyr,Fercart,5
Sigismund,Voymir,3
Cirilla,Philippa,4
Philippa,Vizimir,3
Philippa,Vilgefortz,40
Drithelm,Vilgefortz,5
Drithelm,Marti,4
Fercart,Francesca,12
Fercart,Geralt,2
Sabrina,Vizimir,5
Philippa,Tissaia,10
Demavend,Radcliffe,6
Carduin,Francesca,3
Carduin,Sabrina,5
Emhyr,Francesca,11
Lydia,Philippa,5
Sabrina,Tissaia,4
Henselt,Tissaia,4
Henselt,Philippa,3
Philippa,Raffard,6
Drithelm,Fercart,6
Drithelm,Radcliffe,6
Marquard,Radcliffe,6
Marquard,Rejean,6
Bianca,Rejean,6
Bianca,Triss,5
Cahir,Ciri,124
Artaud,Emhyr,7
Rience,Vilgefortz,70
Lydia,Rience,5
Ciri,Lydia,7
Morvran,Tissaia,1
Jan,Morvran,5
Dandelion,Venzlav,3
Fauve,Geralt,4
Dandelion,Triss,18
Elan,Menno,7
Emhyr,Two,5
Blaise,Two,3
Hedwig,Vizimir,5
Dandelion,Emhyr,19
Bronibor,Emhyr,5
Bronibor,Foltest,8
Emhyr,Willemer,5
Emhyr,Ervyll,6
Bode,Digod,3
Hrafnir,Mansfeld,2
Dandelion,Kraska,1
Dandelion,Foltest,4
Foltest,Hedwig,5
Hedwig,Triss,5
Esterad,Triss,4
Esterad,Vilgefortz,4
Emhyr,Filavandrel,9
Filavandrel,Foltest,3
Aen,Francesca,13
Filavandrel,Vilgefortz,2
Dandelion,Fauve,3
Emhyr,Esterad,35
Dervla,Emhyr,17
Aine,Emhyr,5
Aine,Clara,5
Emhyr,Stella,28
Dervla,Stella,2
Emhyr,Vattier,71
Emhyr,Stefan,23
Stefan,Xarthisius,7
Emhyr,Xarthisius,6
Cahir,Rience,45
Cahir,Emhyr,47
Rience,Vattier,43
Cahir,Vattier,40
Stefan,Vilgefortz,18
Stefan,Vattier,50
Ceallach,Emhyr,3
Cahir,Ceallach,13
Cirilla,Vattier,23
Aine,Yennefer,3
Ciri,Seven,6
Paulie,Vilgefortz,5
Margarita,Vilgefortz,2
Jarre,Margarita,4
Fabio,Jarre,10
Ciri,Skomlik,114
Geralt,Skomlik,3
Blue,Skomlik,5
Blue,Ciri,40
Blue,Two,12
Remiz,Skomlik,30
Baron,Remiz,2
Baron,Skomlik,3
Ciri,Vercta,7
Kayleigh,Skomlik,14
Lutz,Skomlik,9
Skomlik,Vercta,13
Ciri,Lutz,2
Ciri,Kayleigh,87
Kayleigh,Vercta,5
Remiz,Vercta,5
Ciri,Iskra,49
Ciri,Mistle,68
Giselher,Kayleigh,21
Ciri,Giselher,10
Iskra,Kayleigh,13
Iskra,Mistle,13
Giselher,Iskra,12
Ciri,Falka,31
Falka,Kayleigh,15
Kayleigh,Reef,5
Giselher,Mistle,21
Asse,Mistle,6
Asse,Falka,12
